year,playerId,playerName,type,rank,playerFullName,playerFirstName,playerLastName,playerUseName,playerInitLastName,teamId,teamAbbrev,teamName,teamShortName,leagueName,leagueId,positionAbbrev,position,primaryPositionAbbrev,age,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,babip,extraBaseHits,hitByPitch,gidp,gidpOpp,numberOfPitches,pitchesPerPlateAppearance,walksPerPlateAppearance,strikeoutsPerPlateAppearance,homeRunsPerPlateAppearance,walksPerStrikeout,iso,reachedOnError,walkOffs,flyOuts,totalSwings,swingAndMisses,ballsInPlay,popOuts,lineOuts,groundOuts,flyHits,popHits,lineHits,groundHits,gamesPlayed,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,rbi,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,reqested_season,requested_league_id,requested_league,requested_level
2022,670113,Jim Haley,player,18,Jim Haley,James,Haley,Jim,J Haley,234,DUR,Durham Bulls,Bulls,INT,117,1B,First Base,3B,27,420,164,179,1,3,.292,37,7,11,54,1512,3.600,.083,.298,.043,.280,.209,5,0,49,804,261,252,14,12,91,24,1,37,24,112,75,61,14,5,18,125,35,0,86,.231,373,.306,.440,.746,2,16,.889,.111,11,47,1.21,1,20.72,2022,117,International League,Triple-A
2022,676059,Jordan Westburg,player,18,Jordan Westburg,Jordan,Westburg,Jordan,J Westburg,568,NOR,Norfolk Tides,Tides,INT,117,SS,Shortstop,3B,23,413,184,163,0,1,.318,46,6,7,64,1605,3.886,.107,.218,.044,.489,.235,5,0,64,708,198,273,21,11,78,20,0,41,38,91,96,64,25,3,18,90,44,0,99,.273,362,.361,.508,.869,3,9,.750,.250,7,74,0.81,0,20.11,2022,117,International League,Triple-A
2022,681807,David Fry,player,21,David Fry,David,Fry,David,D Fry,445,COL,Columbus Clippers,Clippers,INT,117,3B,Third Base,RF,26,479,190,199,2,6,.285,46,10,13,68,1724,3.599,.081,.192,.035,.424,.194,6,2,64,877,224,338,37,15,114,27,0,48,33,119,116,64,27,2,17,92,39,0,108,.256,422,.329,.450,.779,0,2,1.000,.000,13,74,0.98,0,24.82,2022,117,International League,Triple-A
2022,660613,Ronaldo Hernández,player,21,Ronaldo Hernández,Ronaldo,Hernández,Ronaldo,R Hernández,533,WOR,Worcester Red Sox,Red Sox,INT,117,C,Catcher,C,24,439,185,180,0,4,.295,44,2,11,63,1543,3.515,.048,.210,.039,.228,.190,8,0,52,900,275,322,27,21,115,27,0,49,31,105,100,50,27,0,17,92,21,0,107,.261,410,.297,.451,.748,3,0,.000,1.000,11,63,1.15,2,24.12,2022,117,International League,Triple-A
2022,676724,Jared Young,player,21,Jared Young,Jared,Young,Jared,J Young,451,IOW,Iowa Cubs,Cubs,INT,117,1B,First Base,1B,26,455,168,186,2,4,.271,40,9,6,62,1663,3.655,.088,.242,.037,.364,.190,3,1,56,811,232,296,17,22,109,24,0,46,22,109,95,61,21,2,17,110,40,2,92,.230,400,.311,.420,.731,2,3,.600,.400,6,59,1.15,0,23.53,2022,117,International League,Triple-A
2022,680837,Ryan Fitzgerald,player,24,Ryan Fitzgerald,Ryan,Fitzgerald,Ryan,R Fitzgerald,533,WOR,Worcester Red Sox,Red Sox,INT,117,3B,Third Base,3B,28,520,181,203,1,8,.269,46,10,7,75,2005,3.856,.094,.260,.031,.363,.181,2,1,70,967,295,326,38,19,100,25,1,53,20,127,127,55,26,4,16,135,49,0,99,.219,452,.304,.400,.704,5,6,.545,.455,7,72,0.79,0,28.25,2022,117,International League,Triple-A
2022,670156,Miles Mastrobuoni,player,24,Miles Mastrobuoni,Miles,Mastrobuoni,Miles,M Mastrobuoni,234,DUR,Durham Bulls,Bulls,INT,117,2B,Second Base,3B,26,573,238,163,0,2,.342,51,1,8,73,2385,4.162,.110,.166,.028,.663,.170,3,0,90,897,160,414,12,27,133,26,2,80,44,129,129,92,32,3,16,95,63,0,152,.300,507,.377,.469,.846,3,23,.885,.115,8,64,1.03,0,31.69,2022,117,International League,Triple-A
2022,664057,Andrew Stevenson,player,24,Andrew Stevenson,Andrew,Stevenson,Andrew,A Stevenson,534,ROC,Rochester Red Wings,Red Wings,INT,117,CF,Outfielder,CF,28,604,249,188,0,3,.343,56,10,6,45,2254,3.732,.076,.225,.026,.338,.178,3,0,70,1112,294,412,17,30,143,34,2,66,50,135,117,81,31,9,16,136,46,3,152,.279,545,.344,.457,.801,7,39,.848,.152,6,67,1.22,0,34.06,2022,117,International League,Triple-A
2022,643603,Tyler White,player,24,Tyler White,Brian,White,Tyler,T White,431,GWN,Gwinnett Stripers,Stripers,INT,117,1B,First Base,1B,31,437,147,179,0,6,.255,31,4,3,50,1917,4.387,.160,.201,.037,.795,.182,3,0,73,769,168,275,23,26,71,21,3,40,18,103,122,48,13,2,16,88,70,0,82,.230,357,.357,.412,.769,1,5,.833,.167,3,58,0.58,0,22.31,2022,117,International League,Triple-A
2022,607430,John Andreoli,player,28,John Andreoli,John,Andreoli,John,J Andreoli,1960,STP,St. Paul Saints,Saints,INT,117,LF,Outfielder,RF,32,421,122,182,3,2,.270,28,1,6,45,1929,4.582,.185,.356,.036,.520,.178,3,0,39,683,222,192,20,13,58,16,0,35,11,110,72,60,11,2,15,150,78,0,62,.184,337,.337,.362,.699,3,19,.864,.136,6,43,0.81,0,22.47,2022,117,International League,Triple-A
2022,593528,Jorge Bonifacio,player,28,Jorge Bonifacio,Jorge,Bonifacio,Jorge,J Bonifacio,1410,LHV,Lehigh Valley IronPigs,IronPigs,INT,117,LF,Outfielder,RF,29,444,156,149,0,4,.312,33,10,2,46,1821,4.101,.106,.282,.034,.376,.167,5,1,77,934,272,262,35,13,45,31,2,34,25,112,125,44,17,1,15,125,47,0,92,.240,383,.336,.407,.743,2,8,.800,.200,2,57,0.36,0,25.53,2022,117,International League,Triple-A
2022,680814,Peyton Burdick,player,28,Peyton Burdick,Edmund,Burdick,Peyton,P Burdick,564,JAX,Jacksonville Jumbo Shrimp,Jumbo Shrimp,INT,117,CF,Outfielder,CF,25,430,149,187,0,3,.272,36,9,8,64,1649,3.835,.123,.279,.035,.442,.195,5,0,64,836,313,247,20,11,74,25,2,33,18,99,95,74,16,5,15,120,53,0,78,.214,364,.326,.409,.735,3,13,.813,.188,8,58,0.78,1,24.27,2022,117,International League,Triple-A
2022,676628,Mark Contreras,player,28,Mark Contreras,Mark,Contreras,Mark,M Contreras,1960,STP,St. Paul Saints,Saints,INT,117,CF,Outfielder,OF,27,423,157,201,0,2,.311,37,8,3,61,1573,3.719,.087,.296,.035,.296,.181,5,0,59,876,288,253,10,12,83,27,1,38,23,102,81,64,21,1,15,125,37,1,89,.237,376,.317,.418,.735,2,23,.920,.080,3,59,1.02,0,25.07,2022,117,International League,Triple-A
2022,664314,Estevan Florial,player,28,Estevan Florial,Estevan,Florial,Estevan,E Florial,531,SWB,Scranton/Wilkes-Barre RailRiders,RailRiders,INT,117,CF,Outfielder,LF,24,461,194,134,2,1,.398,48,1,0,31,1883,4.085,.117,.304,.033,.386,.199,4,0,42,834,296,266,25,9,76,29,0,46,39,101,76,66,31,2,15,140,54,3,114,.283,403,.368,.481,.849,10,39,.796,.204,0,46,1.00,0,26.87,2022,117,International League,Triple-A
2022,656514,Adam Haseley,player,28,Adam Haseley,Adam,Haseley,Adam,A Haseley,494,CLT,Charlotte Knights,Knights,INT,117,CF,Outfielder,CF,26,463,172,182,1,3,.259,38,9,6,63,1735,3.747,.069,.168,.032,.410,.172,6,0,67,822,174,344,25,18,134,21,0,37,42,110,110,59,19,4,15,78,32,0,100,.239,418,.305,.411,.716,3,18,.857,.143,6,63,1.22,0,27.87,2022,117,International League,Triple-A
2022,680438,Robert Neustrom,player,28,Robert Neustrom,Robert,Neustrom,Robert,R Neustrom,568,NOR,Norfolk Tides,Tides,INT,117,LF,Outfielder,OF,25,409,150,185,1,4,.243,34,7,7,60,1581,3.866,.071,.169,.037,.420,.177,2,1,73,729,168,304,41,12,93,15,0,40,30,101,126,41,18,1,15,69,29,0,85,.231,368,.297,.408,.705,2,14,.875,.125,7,61,0.74,0,24.53,2022,117,International League,Triple-A
2022,680118,Dairon Blanco,player,35,Dairon Blanco,Dairon,Blanco,Dairon,D Blanco,541,OMA,Omaha Storm Chasers,Storm Chasers,INT,117,CF,Outfielder,CF,29,414,178,163,2,5,.371,37,6,5,47,1518,3.667,.085,.237,.034,.357,.186,8,0,59,790,247,275,11,5,90,21,0,51,38,107,75,63,20,3,14,98,35,0,110,.301,366,.367,.486,.853,7,45,.865,.135,5,61,1.20,0,26.14,2022,117,International League,Triple-A
2022,663478,Brendon Davis,player,35,Brendon Davis,Brendon,Davis,Brendon,B Davis,512,TOL,Toledo Mud Hens,Mud Hens,INT,117,3B,Third Base,SS,24,430,150,170,0,1,.284,35,7,5,48,1742,4.051,.128,.242,.033,.529,.177,3,2,66,874,290,264,24,15,74,21,1,40,23,103,105,54,19,2,14,104,55,2,85,.232,367,.342,.409,.751,4,6,.600,.400,5,47,0.70,0,26.21,2022,117,International League,Triple-A
2022,680737,Michael Helman,player,35,Michael Helman,Michael,Helman,Michael,M Helman,1960,STP,St. Paul Saints,Saints,INT,117,2B,Second Base,CF,26,415,153,157,0,4,.281,32,3,3,44,1614,3.889,.096,.193,.034,.500,.166,6,0,66,779,182,292,30,15,89,23,1,41,27,96,111,67,17,1,14,80,40,0,92,.250,368,.325,.416,.741,5,30,.857,.143,3,40,0.80,0,26.29,2022,117,International League,Triple-A
2022,650339,Jermaine Palacios,player,35,Jermaine Palacios,Jermaine,Palacios,Jermaine,J Palacios,1960,STP,St. Paul Saints,Saints,INT,117,SS,Shortstop,SS,25,428,181,189,0,1,.350,42,1,11,64,1694,3.958,.079,.238,.033,.333,.179,4,2,55,843,250,291,7,11,107,21,1,47,42,102,73,70,28,0,14,102,34,0,111,.283,392,.341,.462,.803,9,12,.571,.429,11,60,1.47,0,28.00,2022,117,International League,Triple-A
2022,676625,Rylan Bannon,player,39,Rylan Bannon,Rylan,Bannon,Rylan,R Bannon,431,GWN,Gwinnett Stripers,Stripers,INT,117,3B,Third Base,3B,26,411,144,178,0,3,.310,32,7,11,55,1762,4.287,.144,.243,.032,.590,.173,2,0,48,716,176,245,23,17,72,18,0,43,24,99,88,57,18,1,13,100,59,0,85,.249,342,.367,.421,.788,1,10,.909,.091,11,77,0.82,0,26.31,2022,117,International League,Triple-A
2022,666164,Blake Rutherford,player,39,Blake Rutherford,Blake,Rutherford,Blake,B Rutherford,494,CLT,Charlotte Knights,Knights,INT,117,LF,Outfielder,LF,25,467,188,199,0,2,.315,41,5,9,69,1569,3.360,.045,.195,.028,.231,.157,5,1,51,916,248,350,31,24,125,24,0,58,37,116,106,57,26,2,13,91,21,1,119,.271,439,.310,.428,.738,5,8,.615,.385,9,58,1.18,0,33.77,2022,117,International League,Triple-A
2022,668930,Brice Turang,player,39,Brice Turang,Brice,Turang,Brice,B Turang,556,NAS,Nashville Sounds,Sounds,INT,117,SS,Shortstop,2B,22,603,219,240,0,6,.342,39,0,11,85,2442,4.050,.108,.196,.022,.551,.126,4,1,88,1054,223,420,17,21,142,20,1,75,56,131,126,89,24,2,13,118,65,0,152,.286,532,.360,.412,.772,2,34,.944,.056,11,78,1.13,0,40.92,2022,117,International League,Triple-A
