year,playerId,playerName,type,rank,playerFullName,playerFirstName,playerLastName,playerUseName,playerInitLastName,teamId,teamAbbrev,teamName,teamShortName,leagueName,leagueId,positionAbbrev,position,primaryPositionAbbrev,age,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,babip,extraBaseHits,hitByPitch,gidp,gidpOpp,numberOfPitches,pitchesPerPlateAppearance,walksPerPlateAppearance,strikeoutsPerPlateAppearance,homeRunsPerPlateAppearance,walksPerStrikeout,iso,reachedOnError,walkOffs,flyOuts,totalSwings,swingAndMisses,ballsInPlay,popOuts,lineOuts,groundOuts,flyHits,popHits,lineHits,groundHits,gamesPlayed,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,rbi,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,reqested_season,requested_league_id,requested_league,requested_level
2022,663662,Daz Cameron,player,52,Daz Cameron,Dazmon,Cameron,Daz,D Cameron,512,TOL,Toledo Mud Hens,Mud Hens,INT,117,CF,Outfielder,RF,25,430,150,179,0,5,.322,36,5,5,53,1724,4.009,.086,.286,.023,.301,.151,3,2,69,793,215,265,21,13,70,20,0,44,28,98,103,56,24,2,10,123,37,0,92,.240,383,.312,.392,.704,4,19,.826,.174,5,50,0.68,0,38.30,2022,117,International League,Triple-A
2022,666137,Khalil Lee,player,52,Khalil Lee,Khalil,Lee,Khalil,K Lee,552,SYR,Syracuse Mets,Mets,INT,117,CF,Outfielder,CF,24,418,130,157,0,1,.314,35,14,4,40,1710,4.091,.112,.333,.024,.338,.155,4,0,42,779,263,217,12,11,77,16,0,33,26,100,65,48,25,0,10,139,47,0,75,.211,355,.326,.366,.692,3,14,.824,.176,4,37,1.18,1,35.50,2022,117,International League,Triple-A
2022,669738,Jake Noll,player,52,Jake Noll,Jacob,Noll,Jake,J Noll,534,ROC,Rochester Red Wings,Red Wings,INT,117,2B,Second Base,2B,28,423,162,177,0,3,.294,39,10,9,62,1491,3.525,.047,.182,.024,.260,.159,5,1,66,862,251,316,35,16,99,19,0,53,28,103,117,48,26,3,10,77,20,1,100,.256,390,.307,.415,.722,0,6,1.000,.000,9,53,0.85,0,39.00,2022,117,International League,Triple-A
2022,605486,Cory Spangenberg,player,52,Cory Spangenberg,Cory,Spangenberg,Cory,C Spangenberg,235,MEM,Memphis Redbirds,Redbirds,INT,117,3B,Third Base,2B,31,414,147,166,0,2,.335,32,3,4,50,1617,3.906,.065,.326,.024,.200,.149,3,0,41,824,268,249,12,15,91,19,1,43,27,106,68,53,17,5,10,135,27,0,90,.236,382,.290,.385,.675,3,14,.824,.176,4,42,1.34,0,38.20,2022,117,International League,Triple-A
2022,642162,Pat Valaika,player,52,Pat Valaika,Patrick,Valaika,Pat,P Valaika,431,GWN,Gwinnett Stripers,Stripers,INT,117,2B,Second Base,SS,29,466,155,198,0,6,.287,33,1,10,73,1721,3.693,.082,.206,.021,.396,.126,9,1,76,880,232,331,35,23,95,19,2,58,23,114,134,51,23,0,10,96,38,0,102,.242,421,.303,.368,.671,1,2,.667,.333,10,54,0.71,0,42.10,2022,117,International League,Triple-A
2022,686823,Will Brennan,player,57,Will Brennan,William,Brennan,Will,W Brennan,445,COL,Columbus Clippers,Clippers,INT,117,CF,Outfielder,LF,24,433,185,164,0,5,.342,40,2,7,72,1563,3.610,.076,.122,.021,.623,.155,5,0,66,788,147,345,18,21,116,20,0,60,44,93,105,53,28,3,9,53,33,0,124,.316,393,.367,.471,.838,1,15,.938,.063,7,68,1.10,0,43.67,2022,117,International League,Triple-A
2022,641512,Ben DeLuzio,player,57,Ben DeLuzio,Benjamin,DeLuzio,Ben,B DeLuzio,235,MEM,Memphis Redbirds,Redbirds,INT,117,CF,Outfielder,CF,27,408,156,148,0,1,.347,31,7,5,48,1567,3.841,.088,.223,.022,.396,.151,3,0,44,734,193,274,23,12,93,19,5,46,31,94,79,60,16,6,9,91,36,0,101,.277,364,.353,.429,.782,6,30,.833,.167,5,49,1.18,0,40.44,2022,117,International League,Triple-A
2022,687867,Clay Dungan,player,57,Clay Dungan,Anthony,Dungan,Clay,C Dungan,541,OMA,Omaha Storm Chasers,Storm Chasers,INT,117,2B,Second Base,2B,26,515,151,200,2,4,.245,35,10,7,76,1963,3.812,.091,.194,.017,.470,.126,6,0,97,858,175,358,30,17,120,26,1,38,29,127,144,64,22,4,9,100,47,0,94,.208,452,.294,.334,.628,2,17,.895,.105,7,52,0.83,0,50.22,2022,117,International League,Triple-A
2022,640460,Dustin Peterson,player,57,Dustin Peterson,Dustin,Peterson,Dustin,D Peterson,1410,LHV,Lehigh Valley IronPigs,IronPigs,INT,117,RF,Outfielder,LF,27,448,151,195,0,1,.303,34,3,15,48,1709,3.815,.098,.228,.020,.431,.135,5,0,59,760,198,299,20,14,108,24,0,36,37,105,93,50,23,2,9,102,44,2,97,.243,400,.321,.378,.699,2,6,.750,.250,15,47,1.16,0,44.44,2022,117,International League,Triple-A
2022,621545,Zach Remillard,player,57,Zach Remillard,Zachary,Remillard,Zach,Z Remillard,494,CLT,Charlotte Knights,Knights,INT,117,SS,Shortstop,2B,28,491,167,152,3,5,.354,30,8,6,57,1919,3.908,.116,.222,.018,.523,.120,3,1,62,889,222,317,20,20,98,16,0,62,39,131,102,83,19,2,9,109,57,0,117,.280,418,.373,.400,.773,7,19,.731,.269,6,52,0.96,0,46.44,2022,117,International League,Triple-A
2022,680552,Travis Swaggerty,player,57,Travis Swaggerty,Travis,Swaggerty,Travis,T Swaggerty,484,IND,Indianapolis Indians,Indians,INT,117,CF,Outfielder,OF,24,458,159,155,1,1,.337,32,1,1,57,1759,3.841,.124,.255,.020,.487,.146,3,1,44,816,258,283,16,16,106,26,0,37,38,107,76,55,15,8,9,117,57,0,101,.254,398,.348,.399,.747,5,20,.800,.200,1,55,1.39,0,44.22,2022,117,International League,Triple-A
2022,678225,Ji Hwan Bae,player,63,Ji Hwan Bae,Ji Hwan,Bae,Ji Hwan,J Bae,484,IND,Indianapolis Indians,Indians,INT,117,2B,Second Base,CF,22,473,180,179,1,3,.338,37,2,5,63,1804,3.814,.101,.169,.017,.600,.141,11,0,71,875,157,343,13,18,120,22,1,45,53,108,102,81,23,6,8,80,48,1,121,.289,419,.362,.430,.792,8,30,.789,.211,5,53,1.18,0,52.38,2022,117,International League,Triple-A
2022,624417,Bryson Brigman,player,63,Bryson Brigman,Bryson,Brigman,Bryson,B Brigman,564,JAX,Jacksonville Jumbo Shrimp,Jumbo Shrimp,INT,117,2B,Second Base,SS,27,413,141,182,1,3,.308,26,5,11,56,1532,3.709,.053,.220,.019,.242,.118,7,0,55,760,194,295,20,16,108,16,1,36,43,105,91,54,15,3,8,91,22,1,96,.251,382,.299,.369,.668,3,9,.750,.250,11,38,1.19,0,47.75,2022,117,International League,Triple-A
2022,675925,Cullen Large,player,65,Cullen Large,Cullen,Large,Cullen,C Large,422,BUF,Buffalo Bisons,Bisons,INT,117,RF,Outfielder,2B,26,468,150,220,0,2,.326,34,7,9,66,1869,3.994,.103,.271,.015,.378,.127,4,1,62,873,239,286,12,18,96,18,1,43,36,119,92,43,23,4,7,127,48,1,98,.238,411,.327,.365,.692,1,7,.875,.125,9,52,1.04,0,58.71,2022,117,International League,Triple-A
2022,675649,Brian Miller,player,65,Brian Miller,Brian,Miller,Brian,B Miller,564,JAX,Jacksonville Jumbo Shrimp,Jumbo Shrimp,INT,117,LF,Outfielder,OF,26,452,177,129,2,4,.341,35,1,2,45,1656,3.664,.082,.170,.015,.481,.142,6,0,62,808,177,337,22,16,118,29,1,49,40,108,100,67,19,9,7,77,37,0,119,.292,408,.349,.434,.783,6,26,.813,.188,2,45,1.18,0,58.29,2022,117,International League,Triple-A
2022,622668,Ivan Castillo,player,67,Ivan Castillo,Ivan,Castillo,Ivan,I Castillo,541,OMA,Omaha Storm Chasers,Storm Chasers,INT,117,SS,Shortstop,2B,27,447,136,171,3,4,.264,29,3,8,60,1627,3.640,.101,.119,.013,.849,.105,5,0,89,786,137,346,27,22,113,19,0,41,35,113,138,58,23,0,6,53,45,1,95,.242,392,.322,.347,.669,4,9,.692,.308,8,37,0.82,0,65.33,2022,117,International League,Triple-A
2022,661411,Lorenzo Cedrola,player,68,Lorenzo Cedrola,Lorenzo,Cedrola,Lorenzo,L Cedrola,416,LOU,Louisville Bats,Bats,INT,117,CF,Outfielder,CF,24,504,169,176,2,2,.316,29,12,7,75,1707,3.387,.026,.167,.008,.155,.088,3,0,86,985,210,395,31,20,131,16,1,58,52,124,137,64,20,5,4,84,13,0,127,.267,475,.303,.356,.659,6,15,.714,.286,7,41,0.96,0,118.75,2022,117,International League,Triple-A
2022,656734,Evan Mendoza,player,68,Evan Mendoza,Evan,Mendoza,Evan,E Mendoza,235,MEM,Memphis Redbirds,Redbirds,INT,117,SS,Shortstop,3B,26,421,117,176,1,3,.281,20,1,10,60,1674,3.976,.133,.133,.010,1.000,.078,4,0,80,758,129,308,21,24,94,10,2,53,24,109,125,56,16,0,4,56,56,0,89,.247,360,.348,.325,.673,4,17,.810,.190,10,29,0.75,0,90.00,2022,117,International League,Triple-A
2022,677954,Jordan Groshans,player,70,Jordan Groshans,Jordan,Groshans,Jordan,J Groshans,564,JAX,Jacksonville Jumbo Shrimp,Jumbo Shrimp,INT,117,3B,Third Base,SS,22,412,118,158,0,3,.316,18,2,6,55,1583,3.842,.131,.158,.007,.831,.068,4,0,66,684,146,291,11,19,101,13,0,56,25,98,96,44,15,0,3,65,54,0,94,.266,353,.364,.334,.698,0,3,1.000,.000,6,34,1.05,0,117.67,2022,117,International League,Triple-A
2022,691503,Yolbert Sanchez,player,70,Yolbert Sanchez,Yolbert,Sanchez,Yolbert,Y Sanchez,494,CLT,Charlotte Knights,Knights,INT,117,2B,Second Base,SS,25,479,151,191,1,3,.325,20,3,14,76,1680,3.507,.056,.148,.006,.380,.061,12,1,51,869,165,376,12,33,156,14,0,66,44,113,96,44,16,1,3,71,27,0,124,.280,443,.324,.341,.665,9,11,.550,.450,14,40,1.63,2,147.67,2022,117,International League,Triple-A
2022,592261,Delino DeShields,player,72,Delino DeShields,Delino,DeShields,Delino,D DeShields,431,GWN,Gwinnett Stripers,Stripers,INT,117,CF,Outfielder,CF,29,426,89,121,4,4,.326,13,4,4,46,1758,4.127,.181,.272,.002,.664,.045,3,1,50,689,206,229,15,13,77,10,1,27,36,109,78,61,12,0,1,116,77,0,74,.220,337,.367,.264,.631,11,35,.761,.239,4,26,0.99,0,337.00,2022,117,International League,Triple-A
