feature,center,scale
pitchesPerPlateAppearance,3.873783234126981,0.22505354011274106
k_rate,0.23305075087788943,0.06110164405746684
iso,0.14793799603174623,0.050659772312666336
babip,0.3117291666666669,0.03489627398398376
sb_attempt_rate_log,0.04388448538300662,0.0320654111892784
ground_air_ratio_log,0.6782892662982306,0.14810888330707656
