k,total_within_ss,average_silhouette,iterations,ifault
2,9869.459287714064,0.16625064399732503,1,0
3,8669.878970217937,0.15375070073615874,4,0
4,7907.197190801731,0.1462881549858196,4,0
5,7367.315835122382,0.14027520564585885,8,0
6,6915.411181209844,0.13564044208009868,6,0
7,6556.691806658915,0.13377869399613415,6,0
8,6249.542936561248,0.13009887825222824,7,0
9,6023.588517852781,0.1324408095602074,9,0
10,5813.737347977204,0.12830861184895623,8,0
