cluster,pitchesPerPlateAppearance,k_rate,iso,babip,sb_attempt_rate_log,ground_air_ratio_log
1,0.49280398621789295,0.4116537450697641,0.6135434343950298,-0.5584522323656376,-0.33915296707983555,-0.8356419244921512
2,-0.8580596428581775,-0.8377230958441209,-0.48838750167781064,-0.38005490231098205,-0.33479570549956134,0.1542262303589875
3,0.3842307172125247,0.5849564714074437,0.3159483389174018,0.9589614221288858,-0.3063838496830378,0.613427395774034
4,-0.012578018231825734,-0.1684212278111405,-0.658722141581811,0.2250654838795167,1.4169213231260618,0.32075636254160567
