feature,skewness
sb_attempt_rate,1.1240512138770995
groundOutsToAirouts,1.038377729818422
hr_rate,0.46998189178492533
bb_rate,0.3192460574563589
iso,0.2403934264518315
pitchesPerPlateAppearance,-0.22827495916615206
k_rate,0.19182054009131067
swing_miss_rate,0.0546699630441671
xbh_rate,0.04086347281310049
babip,0.019802928958095038
