requested_level,bb_rate,k_rate,iso,babip,pitchesPerPlateAppearance,swing_miss_rate,hr_rate,xbh_rate,sb_attempt_rate,groundOutsToAirouts,player_records
Double-A,0.10430012546121784,0.23243262291205763,0.14851232394366198,0.30604401408450704,3.881551056338028,0.27450044162255555,0.025719360368042486,0.07301744984343206,0.04203771115156654,0.9518838028169014,568
High-A,0.10412358961254471,0.23799740474959954,0.14012921348314608,0.30717228464419477,3.8580505617977527,0.28005630869338977,0.022303650014081907,0.07094120245958611,0.04675444612143408,0.9886704119850188,534
Low-A,0.11181797977685709,0.24023752003214494,0.12750344827586207,0.31668045977011494,3.8287149425287357,0.2887907501533831,0.018046550846106554,0.06626012236776244,0.05637647334722518,1.049103448275862,435
Triple-A,0.1105950849301691,0.2217424814311213,0.17451983298538623,0.3190542797494781,3.9230396659707725,0.26146118764380566,0.03086352213519726,0.0839981659658821,0.03792788591254945,0.9946137787056367,479
