cluster,playerName,requested_season,requested_level,requested_league_name,teamName,age,distance_to_center,silhouette_width,pitchesPerPlateAppearance,k_rate,iso,babip,sb_attempt_rate_log,ground_air_ratio_log
1,Logan Wagner,2025,High-A,Midwest League,Great Lakes Loons,21,0.5747936978175666,0.33422603768047,3.9719999999999995,0.2626641651031895,0.164,0.277,0.03864326258143927,0.5709795465857378
1,Brendon Davis,2022,Triple-A,International League,Toledo Mud Hens,24,0.5825729557187104,0.3739894075748454,4.051,0.24186046511627907,0.17700000000000002,0.28400000000000003,0.02298951822469874,0.5306282510621704
1,Jantzen Witte,2023,Triple-A,Pacific Coast League,El Paso Chihuahuas,33,0.7131245895233544,0.2968720325966854,3.973,0.24829157175398633,0.20700000000000002,0.305,0.026967926427506998,0.5653138090500605
1,Bligh Madris,2023,Triple-A,Pacific Coast League,Sugar Land Space Cowboys,27,0.7417195298475084,0.2978460772547857,4.1209999999999996,0.25219298245614036,0.17700000000000002,0.29100000000000004,0.038714512180690414,0.6097655716208943
1,John Rhodes,2023,Double-A,Eastern League,Bowie Baysox,22,0.7445312293850002,0.3392494384450151,3.9319999999999995,0.26282051282051283,0.194,0.281,0.01904819497069448,0.6043159668533296
1,Ethan Wilson,2023,Double-A,Eastern League,Reading Fightin Phils,23,0.74602850391017,0.27370227914769213,3.937,0.23758099352051837,0.193,0.29400000000000004,0.04021705996436623,0.6312717768418579
1,Brennan Milone,2025,Double-A,Texas League,Midland RockHounds,24,0.8514676038149278,0.28594918112599393,4.023,0.22531645569620254,0.16,0.29700000000000004,0.017566323717899193,0.5364933705145685
1,Braxton Fulford,2024,Double-A,Eastern League,Hartford Yard Goats,25,0.8699529753668753,0.19988698814707834,3.823,0.25065963060686014,0.17,0.306,0.031171354902939426,0.5822156198526636
1,Denzer Guzman,2025,Double-A,Southern League,Rocket City Trash Pandas,21,0.8737726190968055,0.3305264471156032,3.9379999999999997,0.23834196891191708,0.17300000000000001,0.29800000000000004,0.02809891122235955,0.44468582126144574
1,Caleb Roberts,2025,Double-A,Texas League,Amarillo Sod Poodles,25,0.8773036255183962,0.1585261196423877,3.9149999999999996,0.23569794050343248,0.15000000000000002,0.29500000000000004,0.02486003731939501,0.6097655716208943
2,Jared Dickey,2024,High-A,Midwest League,Lansing Lugnuts,22,0.4048636474462588,0.3348509737154066,3.766,0.18200836820083682,0.126,0.303,0.03292478469646653,0.7030975114131134
2,Yohendrick Piñango,2022,High-A,Midwest League,South Bend Cubs,20,0.7284235592639681,0.30164980586988405,3.762,0.17777777777777778,0.14400000000000002,0.28400000000000003,0.029852963149681156,0.7323678937132266
2,Cole Messina,2025,High-A,Northwest League,Spokane Indians,22,0.7534935658308979,0.2620867298871898,3.804,0.16589861751152074,0.12300000000000001,0.304,0.04505266394094313,0.6729444732424258
2,Matt Koperniak,2025,Triple-A,International League,Memphis Redbirds,27,0.7607859469129558,0.286716118942091,3.765,0.1921641791044776,0.136,0.28300000000000003,0.022141125877213546,0.7275486072772778
2,Owen Miller,2025,Triple-A,Pacific Coast League,Albuquerque Isotopes,28,0.7702735172583954,0.3007550739769873,3.714,0.16099773242630386,0.15200000000000002,0.303,0.03563851544735871,0.6523251860396903
2,Jacob Buchberger,2022,High-A,Midwest League,Peoria Chiefs,24,0.773947497070011,0.24383460292106768,3.741,0.20812182741116753,0.126,0.312,0.042242305198300786,0.6523251860396903
2,Juan Guerrero,2023,High-A,Northwest League,Spokane Indians,21,0.822759397370991,0.3435434840616473,3.709,0.14344262295081966,0.118,0.28800000000000003,0.04213261069737557,0.6575200029167942
2,Victor Mesa Jr.,2022,High-A,Midwest League,Beloit Sky Carp,20,0.8440246404346,0.2997205332915355,3.8339999999999996,0.19047619047619047,0.10200000000000001,0.29600000000000004,0.02631730831737341,0.6931471805599453
2,Christian Knapczyk,2025,High-A,Midwest League,Lake County Captains,23,0.8601690116420985,0.3256452697905576,3.651,0.18632075471698112,0.111,0.311,0.03248545514448837,0.5933268452777344
2,Keyber Rodriguez,2024,Double-A,Texas League,Frisco RoughRiders,23,0.878388421430718,0.3198016367037261,3.669,0.1937984496124031,0.135,0.272,0.025511587657408605,0.7323678937132266
3,Owen Caissie,2022,High-A,Midwest League,South Bend Cubs,19,0.48319290520224256,0.33130755203630285,3.947,0.2863741339491917,0.14800000000000002,0.35,0.038509854761875593,0.7839015438284095
3,Bob Seymour,2022,Low-A,Carolina League,Charleston RiverDogs,23,0.6729872299061072,0.2715882847533163,3.9949999999999997,0.23902439024390243,0.181,0.352,0.03828218657101693,0.7466879474879752
3,T.J. White,2022,Low-A,Carolina League,Fredericksburg Nationals,18,0.7205271602720719,0.3221519672585939,4.031000000000001,0.27225130890052357,0.17300000000000001,0.34299999999999997,0.02328695137879059,0.8458682675776092
3,Matthew Lugo,2025,Triple-A,Pacific Coast League,Salt Lake Bees,24,0.7601343089129202,0.34542887649741455,3.9699999999999998,0.2943722943722944,0.182,0.356,0.03822121282019776,0.8285518175661483
3,Trey Sweeney,2024,Triple-A,Pacific Coast League,Oklahoma City Baseball Club,24,0.7905181237620131,0.25389013600690646,3.8409999999999997,0.2681818181818182,0.17200000000000001,0.32999999999999996,0.042275483148238306,0.8064758658669485
3,Heriberto Hernández,2023,Double-A,Southern League,Montgomery Biscuits,23,0.8420427884709825,0.25815923492041504,4.106999999999999,0.2803347280334728,0.162,0.34099999999999997,0.018653390591133814,0.7747271675523683
3,Julian Brock,2024,Low-A,Carolina League,Down East Wood Ducks,23,0.8437763886917317,0.29463826435747553,3.9519999999999995,0.2824427480916031,0.12300000000000001,0.346,0.0325435477324714,0.7793248768009977
3,Ronnie Dawson,2022,Triple-A,International League,Louisville Bats,27,0.8559577570904443,0.2248945377803542,4.002,0.25,0.14200000000000002,0.324,0.030771658666753687,0.7975071958841881
