cluster,pitchesPerPlateAppearance,k_rate,iso,babip,sb_attempt_rate_log,ground_air_ratio_log,sb_attempt_rate,ground_air_ratio
1,3.9846905158069883,0.25820347148406536,0.17901996672212978,0.29224126455906824,0.03300940603752789,0.5545232740171218,0.033560260902185626,0.74111075415797
2,3.680673873873874,0.18186449245690278,0.1231963963963964,0.29846666666666666,0.03314912342175863,0.7011315410533602,0.03370467732679134,1.0160326410062257
3,3.960255717255717,0.2687925529829388,0.16394386694386695,0.3451933471933472,0.03406016126116595,0.7691433128762909,0.03464685051515513,1.1579168021588844
4,3.8709525065963057,0.2227599369644516,0.11456728232189974,0.3195831134564644,0.08931865023190019,0.7257961329679077,0.09342902223144472,1.066375554980601
