cluster,pitchesPerPlateAppearance,k_rate,iso,babip,sb_attempt_rate_log,ground_air_ratio_log,player_records,cluster_percent,archetype_name,short_description,strengths,limitations
1,0.49280398621789295,0.4116537450697641,0.6135434343950298,-0.5584522323656376,-0.33915296707983555,-0.8356419244921512,601,29.811507936507937,NA,NA,NA,NA
2,-0.8580596428581775,-0.8377230958441209,-0.48838750167781064,-0.38005490231098205,-0.33479570549956134,0.1542262303589875,555,27.529761904761905,NA,NA,NA,NA
3,0.3842307172125247,0.5849564714074437,0.3159483389174018,0.9589614221288858,-0.3063838496830378,0.613427395774034,481,23.859126984126984,NA,NA,NA,NA
4,-0.012578018231825734,-0.1684212278111405,-0.658722141581811,0.2250654838795167,1.4169213231260618,0.32075636254160567,379,18.799603174603174,NA,NA,NA,NA
