k,cluster,pitchesPerPlateAppearance,k_rate,iso,babip,sb_attempt_rate_log,ground_air_ratio_log
4,1,3.9846905158069883,0.25820347148406536,0.17901996672212978,0.29224126455906824,0.03300940603752789,0.5545232740171218
4,2,3.680673873873874,0.18186449245690278,0.1231963963963964,0.29846666666666666,0.03314912342175863,0.7011315410533602
4,3,3.960255717255717,0.2687925529829388,0.16394386694386695,0.3451933471933472,0.03406016126116595,0.7691433128762909
4,4,3.8709525065963057,0.2227599369644516,0.11456728232189974,0.3195831134564644,0.08931865023190019,0.7257961329679077
5,1,3.676313953488372,0.18243703403575293,0.12636240310077518,0.30076162790697675,0.029923012026896994,0.7053243442744741
5,2,3.9374781553398055,0.24235742202918384,0.13017475728155342,0.2941334951456311,0.0622872005250405,0.5743731591545704
5,3,3.979216216216216,0.27298405301237333,0.15897522522522525,0.34642567567567567,0.03731345485982755,0.7703501480613855
5,4,3.780399082568807,0.2014058915650984,0.10364220183486236,0.33097247706422017,0.09457544548781122,0.825858274167512
5,5,3.989269953051643,0.25992991181377373,0.2024154929577465,0.2960211267605634,0.023905870037181892,0.5745762632210178
6,1,3.6105257452574526,0.17202914826512616,0.12366124661246614,0.3028726287262873,0.033811172156102895,0.7016504168743446
6,2,3.912733333333333,0.23639166481186716,0.136776,0.33483466666666667,0.0303542345999171,0.8273274938974122
6,3,3.9525558375634517,0.24286822235785718,0.19782994923857866,0.2903629441624366,0.02101879703667542,0.582030852998761
6,4,3.80260773480663,0.20639218872365578,0.10532596685082873,0.332878453038674,0.10275949464753287,0.8067601044727241
6,5,4.0269634551495015,0.3063164828095801,0.1851029900332226,0.34265448504983387,0.04920623259241817,0.6306865295939649
6,6,3.919931818181818,0.2334756481360663,0.12271717171717172,0.2861868686868687,0.057878816812118664,0.5886211273237806
