k,cluster,pitchesPerPlateAppearance,k_rate,iso,babip,sb_attempt_rate_log,ground_air_ratio_log,preliminary_label,interpretation_notes
4,1,0.49280398621789295,0.4116537450697641,0.6135434343950298,-0.5584522323656376,-0.33915296707983555,-0.8356419244921512,NA,NA
4,2,-0.8580596428581775,-0.8377230958441209,-0.48838750167781064,-0.38005490231098205,-0.33479570549956134,0.1542262303589875,NA,NA
4,3,0.3842307172125247,0.5849564714074437,0.3159483389174018,0.9589614221288858,-0.3063838496830378,0.613427395774034,NA,NA
4,4,-0.012578018231825734,-0.1684212278111405,-0.658722141581811,0.2250654838795167,1.4169213231260618,0.32075636254160567,NA,NA
5,1,-0.8774324569153018,-0.8283527820386255,-0.4258920233160336,-0.3142896793142977,-0.43540602906030645,0.18253515503314663,NA,NA
5,2,0.2830211921168476,0.1523145783531023,-0.35063795077009297,-0.5042278017736691,0.57391171544331,-0.7016196788696947,NA,NA
5,3,0.46847955396044094,0.6535552807208613,0.21786969600570832,0.9942754640490651,-0.20492581505944327,0.6215756928791606,NA,NA
5,4,-0.41494193564514786,-0.5179052020765376,-0.8743780750433555,0.5514431256008977,1.580861065700413,0.9963548746993399,NA,NA
5,5,0.5131521986581891,0.43990896399782803,1.0753600823503782,-0.4501351609433421,-0.6230581366286957,-0.7002483629707941,NA,NA
6,1,-1.1697549335933533,-0.998690027969979,-0.479211577767203,-0.25379609136621495,-0.31414888670667984,0.15772957066781013,NA,NA
6,2,0.17307036888573327,0.054677971198869406,-0.22033253451783502,0.6621194002146025,-0.42195781314707054,1.0062747370134328,NA,NA
6,3,0.3500171710118818,0.16067442425500522,0.9848436131711172,-0.6122780476229842,-0.7130951233201938,-0.6499165421421449,NA,NA
6,4,-0.3162602964818757,-0.4362986064525685,-0.8411413481671597,0.6060614489017935,1.8360908867500216,0.8674080534935421,NA,NA
6,5,0.6806390201450935,1.19907955116205,0.7336194440847119,0.8862068883732596,0.16596535057660414,-0.3214036568324546,NA,NA
6,6,0.2050560236987113,0.006953941497503011,-0.4978471707080416,-0.7319491471072601,0.43643074921151415,-0.605420397293386,NA,NA
