cluster,average_silhouette,median_silhouette,negative_percent,near_boundary_percent,player_records
1,0.17181485390698317,0.1689314282745117,0.6655574043261231,26.455906821963392,601
2,0.17402989850047162,0.1620153124276901,0.18018018018018017,25.585585585585584,555
3,0.12336281493274609,0.11004682230010053,8.108108108108109,44.6985446985447,481
4,0.09427990924248751,0.07976220265704441,17.941952506596305,57.78364116094987,379
