feature,mean,sd,median,min,max,skewness,lower_bound,upper_bound,outlier_count,outlier_percent,missing_count,missing_percent,unique_values
bb_rate,0.10737119791644566,0.03227575161987251,0.10526044559472753,0.017543859649122806,0.2216624685138539,0.3192460574563589,0.0182652958844787,0.1953159024344189,15,0.744047619047619,0,0,1728
k_rate,0.2330507508778894,0.061101644057466833,0.23019235619139328,0.047186932849364795,0.44017094017094016,0.19182054009131067,0.07088253485302501,0.3934696954123892,19,0.9424603174603174,0,0,1863
iso,0.14793799603174604,0.05065977231266635,0.14600000000000002,0.023,0.312,0.2403934264518315,0.00700000000000002,0.287,10,0.496031746031746,0,0,252
babip,0.31172916666666667,0.0348962739839837,0.312,0.194,0.41500000000000004,0.019802928958095038,0.21350000000000013,0.40949999999999986,6,0.2976190476190476,0,0,184
pitchesPerPlateAppearance,3.873783234126984,0.22505354011274123,3.8819999999999997,3.064,4.659999999999999,-0.22827495916615206,3.278250000000001,4.4762499999999985,24,1.1904761904761905,0,0,802
swing_miss_rate,0.27595744289781066,0.06351775159802756,0.27646111890208,0.0664451827242525,0.5071315372424723,0.0546699630441671,0.10427931804365193,0.44644029626388765,12,0.5952380952380952,0,0,1972
hr_rate,0.024381261169337157,0.013414776548094013,0.023516842634489693,0,0.07079646017699115,0.46998189178492533,-0.015006960868179606,0.062337509854241094,12,0.5952380952380952,0,0,1526
xbh_rate,0.07361844660323541,0.019562665621748566,0.07329842931937172,0.01809954751131222,0.14004914004914004,0.04086347281310049,0.020636732495270545,0.12722160745737737,9,0.4464285714285714,0,0,1604
sb_attempt_rate,0.04540452253030245,0.03408055104274955,0.03941307403148473,0,0.24124513618677043,1.1240512138770995,-0.05019797781111503,0.1324884549331145,42,2.083333333333333,0,0,1683
groundOutsToAirouts,0.9927579365079365,0.30815167052307485,0.9550000000000001,0.25,3,1.038377729818422,0.18499999999999983,1.7450000000000003,47,2.3313492063492065,0,0,170
